City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,petropavlovsk-kamchatsky,53.0452,158.6483,1.33,87,0,4.0,RU,1695057772
1,port-aux-francais,-49.35,70.2167,4.53,95,100,10.6,TF,1695057772
2,uttar char fasson,22.2332,90.7132,28.09,82,100,7.21,BD,1695057772
3,georgetown,5.4112,100.3354,26.96,92,40,4.63,MY,1695057772
4,edinburgh of the seven seas,-37.0676,-12.3116,12.87,81,56,10.64,SH,1695057772
5,susuman,62.7833,148.1667,2.02,66,100,2.07,RU,1695057773
6,wailua homesteads,22.0669,-159.378,25.44,78,100,6.69,US,1695057773
7,kuanda,56.3161,116.0806,1.57,75,1,0.78,RU,1695057773
8,fale old settlement,-9.3852,-171.2468,28.11,80,20,8.69,TK,1695057773
9,waitangi,-43.9535,-176.5597,9.9,81,6,5.81,NZ,1695057773
10,gashua,12.871,11.0482,33.95,36,21,4.71,NG,1695057773
11,constantia,44.1833,28.65,19.38,63,0,4.57,RO,1695057774
12,hamilton,39.1834,-84.5333,23.61,64,40,4.12,US,1695057526
